funkcja straty to było MAE, a nie MSE

MSO 10

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.014032
Epoka 750/2000 | Strata MSE: 0.007256
Epoka 760/2000 | Strata MSE: 0.007291
Epoka 770/2000 | Strata MSE: 0.007255
Epoka 780/2000 | Strata MSE: 0.007230
Epoka 790/2000 | Strata MSE: 0.007230
Epoka 800/2000 | Strata MSE: 0.007231
Epoka 810/2000 | Strata MSE: 0.007213
Epoka 820/2000 | Strata MSE: 0.007276
Epoka 830/2000 | Strata MSE: 0.007303
Epoka 840/2000 | Strata MSE: 0.007242
Epoka 850/2000 | Strata MSE: 0.007241
Epoka 860/2000 | Strata MSE: 0.007307
Epoka 870/2000 | Strata MSE: 0.007342
Epoka 880/2000 | Strata MSE: 0.007203
Epoka 890/2000 | Strata MSE: 0.007228
Epoka 900/2000 | Strata MSE: 0.007288
Epoka 910/2000 | Strata MSE: 0.007205
Epoka 920/2000 | Strata MSE: 0.007194
Epoka 930/2000 | Strata MSE: 0.007254
Epoka 940/2000 | Strata MSE: 0.007241
Epoka 950/2000 | Strata MSE: 0.007206
Epoka 960/2000 | Strata MSE: 0.007472
Epoka 970/2000 | Strata MSE: 0.007210
Epoka 980/2000 | Strata MSE: 0.007231
Epoka 990/2000 | Strata MSE: 0.007194
Epoka 1000/2000 | Strata MSE: 0.007187
Epoka 1010/2000 | Strata MSE: 0.007281
Epoka 1020/2000 | Strata MSE: 0.007181
Epoka 1030/2000 | Strata MSE: 0.007186
Epoka 1040/2000 | Strata MSE: 0.007203
Epoka 1050/2000 | Strata MSE: 0.007246
Epoka 1060/2000 | Strata MSE: 0.007181
Epoka 1070/2000 | Strata MSE: 0.007327
Epoka 1080/2000 | Strata MSE: 0.007203
Epoka 1090/2000 | Strata MSE: 0.007177
Epoka 1100/2000 | Strata MSE: 0.007205
Epoka 1110/2000 | Strata MSE: 0.007171
Epoka 1120/2000 | Strata MSE: 0.007172
Epoka 1130/2000 | Strata MSE: 0.007232
Epoka 1140/2000 | Strata MSE: 0.007227
Epoka 1150/2000 | Strata MSE: 0.007241
Epoka 1160/2000 | Strata MSE: 0.007247
Epoka 1170/2000 | Strata MSE: 0.007240
Epoka 1180/2000 | Strata MSE: 0.007168
Epoka 1190/2000 | Strata MSE: 0.007306
Epoka 1200/2000 | Strata MSE: 0.007244
Epoka 1210/2000 | Strata MSE: 0.007266
Epoka 1220/2000 | Strata MSE: 0.007391
Epoka 1230/2000 | Strata MSE: 0.007217
Epoka 1240/2000 | Strata MSE: 0.007196
Epoka 1250/2000 | Strata MSE: 0.007266
Epoka 1260/2000 | Strata MSE: 0.007260
Epoka 1270/2000 | Strata MSE: 0.007222
Epoka 1280/2000 | Strata MSE: 0.007269
Epoka 1290/2000 | Strata MSE: 0.007209
Epoka 1300/2000 | Strata MSE: 0.007270
Epoka 1310/2000 | Strata MSE: 0.007195
Epoka 1320/2000 | Strata MSE: 0.007171
Epoka 1330/2000 | Strata MSE: 0.007166

[!] EARLY STOPPING: Przerwano trening w epoce 1332!
Brak poprawy o minimum 1e-06 od 80 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.007165

Komórka MSO 10 gotowa!


MSO 0

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.021089
Epoka 20/2000 | Strata MSE: 0.015402
Epoka 30/2000 | Strata MSE: 0.015361
Epoka 40/2000 | Strata MSE: 0.014298
Epoka 50/2000 | Strata MSE: 0.012521
Epoka 60/2000 | Strata MSE: 0.011668
Epoka 70/2000 | Strata MSE: 0.010726
Epoka 80/2000 | Strata MSE: 0.009751
Epoka 90/2000 | Strata MSE: 0.010004
Epoka 100/2000 | Strata MSE: 0.009044
Epoka 110/2000 | Strata MSE: 0.008976
Epoka 120/2000 | Strata MSE: 0.008668
Epoka 130/2000 | Strata MSE: 0.008418
Epoka 140/2000 | Strata MSE: 0.008404
Epoka 150/2000 | Strata MSE: 0.008197
Epoka 160/2000 | Strata MSE: 0.008105
Epoka 170/2000 | Strata MSE: 0.008126
Epoka 180/2000 | Strata MSE: 0.008504
Epoka 190/2000 | Strata MSE: 0.007939
Epoka 200/2000 | Strata MSE: 0.007849
Epoka 210/2000 | Strata MSE: 0.008314
Epoka 220/2000 | Strata MSE: 0.008174
Epoka 230/2000 | Strata MSE: 0.007940
Epoka 240/2000 | Strata MSE: 0.007756
Epoka 250/2000 | Strata MSE: 0.007638
Epoka 260/2000 | Strata MSE: 0.007679
Epoka 270/2000 | Strata MSE: 0.007523
Epoka 280/2000 | Strata MSE: 0.007619
Epoka 290/2000 | Strata MSE: 0.007739
Epoka 300/2000 | Strata MSE: 0.007637
Epoka 310/2000 | Strata MSE: 0.007422
Epoka 320/2000 | Strata MSE: 0.007497
Epoka 330/2000 | Strata MSE: 0.007507
Epoka 340/2000 | Strata MSE: 0.007435
Epoka 350/2000 | Strata MSE: 0.007363
Epoka 360/2000 | Strata MSE: 0.007304
Epoka 370/2000 | Strata MSE: 0.007452
Epoka 380/2000 | Strata MSE: 0.007343
Epoka 390/2000 | Strata MSE: 0.007348
Epoka 400/2000 | Strata MSE: 0.007332
Epoka 410/2000 | Strata MSE: 0.007238
Epoka 420/2000 | Strata MSE: 0.007349
Epoka 430/2000 | Strata MSE: 0.007351
Epoka 440/2000 | Strata MSE: 0.007295
Epoka 450/2000 | Strata MSE: 0.007361
Epoka 460/2000 | Strata MSE: 0.007183
Epoka 470/2000 | Strata MSE: 0.007201
Epoka 480/2000 | Strata MSE: 0.007215
Epoka 490/2000 | Strata MSE: 0.007179
Epoka 500/2000 | Strata MSE: 0.007198
Epoka 510/2000 | Strata MSE: 0.007174
Epoka 520/2000 | Strata MSE: 0.007189
Epoka 530/2000 | Strata MSE: 0.007216
Epoka 540/2000 | Strata MSE: 0.007142
Epoka 550/2000 | Strata MSE: 0.007207
Epoka 560/2000 | Strata MSE: 0.007140
Epoka 570/2000 | Strata MSE: 0.007160
Epoka 580/2000 | Strata MSE: 0.007126
Epoka 590/2000 | Strata MSE: 0.007071
Epoka 600/2000 | Strata MSE: 0.007057
Epoka 610/2000 | Strata MSE: 0.007093
Epoka 620/2000 | Strata MSE: 0.007023
Epoka 630/2000 | Strata MSE: 0.007003
Epoka 640/2000 | Strata MSE: 0.007016
Epoka 650/2000 | Strata MSE: 0.007003
Epoka 660/2000 | Strata MSE: 0.007014
Epoka 670/2000 | Strata MSE: 0.006975
Epoka 680/2000 | Strata MSE: 0.007016
Epoka 690/2000 | Strata MSE: 0.006982
Epoka 700/2000 | Strata MSE: 0.006956
Epoka 710/2000 | Strata MSE: 0.006981
Epoka 720/2000 | Strata MSE: 0.006964
Epoka 730/2000 | Strata MSE: 0.006956
Epoka 740/2000 | Strata MSE: 0.006962
Epoka 750/2000 | Strata MSE: 0.006940
Epoka 760/2000 | Strata MSE: 0.006948
Epoka 770/2000 | Strata MSE: 0.006935
Epoka 780/2000 | Strata MSE: 0.006941
Epoka 790/2000 | Strata MSE: 0.006961
Epoka 800/2000 | Strata MSE: 0.006943
Epoka 810/2000 | Strata MSE: 0.006928
Epoka 820/2000 | Strata MSE: 0.006914
Epoka 830/2000 | Strata MSE: 0.006944
Epoka 840/2000 | Strata MSE: 0.006931
Epoka 850/2000 | Strata MSE: 0.006934
Epoka 860/2000 | Strata MSE: 0.006904
Epoka 870/2000 | Strata MSE: 0.006926
Epoka 880/2000 | Strata MSE: 0.006905
Epoka 890/2000 | Strata MSE: 0.006898
Epoka 900/2000 | Strata MSE: 0.006898
Epoka 910/2000 | Strata MSE: 0.006918
Epoka 920/2000 | Strata MSE: 0.006922
Epoka 930/2000 | Strata MSE: 0.006906
Epoka 940/2000 | Strata MSE: 0.006899
Epoka 950/2000 | Strata MSE: 0.006922
Epoka 960/2000 | Strata MSE: 0.006881
Epoka 970/2000 | Strata MSE: 0.006911
Epoka 980/2000 | Strata MSE: 0.006912
Epoka 990/2000 | Strata MSE: 0.006894
Epoka 1000/2000 | Strata MSE: 0.006916
Epoka 1010/2000 | Strata MSE: 0.006914
Epoka 1020/2000 | Strata MSE: 0.006901
Epoka 1030/2000 | Strata MSE: 0.006894
Epoka 1040/2000 | Strata MSE: 0.006902

[!] EARLY STOPPING: Przerwano trening w epoce 1040!
Brak poprawy o minimum 1e-06 od 80 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.006881

MSO 0 gotowe i zapisane!


MSO 10 z dłuższym oknem:
Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.021544
Epoka 20/2000 | Strata MSE: 0.016027
Epoka 30/2000 | Strata MSE: 0.011807
Epoka 40/2000 | Strata MSE: 0.012319
Epoka 50/2000 | Strata MSE: 0.011289
Epoka 60/2000 | Strata MSE: 0.011456
Epoka 70/2000 | Strata MSE: 0.010820
Epoka 80/2000 | Strata MSE: 0.010347
Epoka 90/2000 | Strata MSE: 0.010516
Epoka 100/2000 | Strata MSE: 0.010190
Epoka 110/2000 | Strata MSE: 0.011920
Epoka 120/2000 | Strata MSE: 0.010165
Epoka 130/2000 | Strata MSE: 0.010279
Epoka 140/2000 | Strata MSE: 0.009553
Epoka 150/2000 | Strata MSE: 0.010230
Epoka 160/2000 | Strata MSE: 0.009718
Epoka 170/2000 | Strata MSE: 0.009995
Epoka 180/2000 | Strata MSE: 0.009695
Epoka 190/2000 | Strata MSE: 0.009515
Epoka 200/2000 | Strata MSE: 0.009645
Epoka 210/2000 | Strata MSE: 0.009618
Epoka 220/2000 | Strata MSE: 0.009680
Epoka 230/2000 | Strata MSE: 0.009278
Epoka 240/2000 | Strata MSE: 0.009233
Epoka 250/2000 | Strata MSE: 0.009581
Epoka 260/2000 | Strata MSE: 0.009179
Epoka 270/2000 | Strata MSE: 0.009359
Epoka 280/2000 | Strata MSE: 0.009126
Epoka 290/2000 | Strata MSE: 0.009189
Epoka 300/2000 | Strata MSE: 0.009238
Epoka 310/2000 | Strata MSE: 0.009142
Epoka 320/2000 | Strata MSE: 0.009113
Epoka 330/2000 | Strata MSE: 0.008956
Epoka 340/2000 | Strata MSE: 0.009367
Epoka 350/2000 | Strata MSE: 0.008944
Epoka 360/2000 | Strata MSE: 0.009210
Epoka 370/2000 | Strata MSE: 0.008875
Epoka 380/2000 | Strata MSE: 0.008857
Epoka 390/2000 | Strata MSE: 0.009072
Epoka 400/2000 | Strata MSE: 0.008799
Epoka 410/2000 | Strata MSE: 0.008807
Epoka 420/2000 | Strata MSE: 0.009035
Epoka 430/2000 | Strata MSE: 0.008771
Epoka 440/2000 | Strata MSE: 0.008859
Epoka 450/2000 | Strata MSE: 0.008691
Epoka 460/2000 | Strata MSE: 0.008678
Epoka 470/2000 | Strata MSE: 0.008802
Epoka 480/2000 | Strata MSE: 0.008855
Epoka 490/2000 | Strata MSE: 0.008661
Epoka 500/2000 | Strata MSE: 0.008593
Epoka 510/2000 | Strata MSE: 0.008594
Epoka 520/2000 | Strata MSE: 0.008611
Epoka 530/2000 | Strata MSE: 0.008873
Epoka 540/2000 | Strata MSE: 0.008654
Epoka 550/2000 | Strata MSE: 0.008621
Epoka 560/2000 | Strata MSE: 0.008623
Epoka 570/2000 | Strata MSE: 0.008571
Epoka 580/2000 | Strata MSE: 0.008661
Epoka 590/2000 | Strata MSE: 0.008614
Epoka 600/2000 | Strata MSE: 0.008547
Epoka 610/2000 | Strata MSE: 0.008587
Epoka 620/2000 | Strata MSE: 0.008493
Epoka 630/2000 | Strata MSE: 0.008614
Epoka 640/2000 | Strata MSE: 0.008565
Epoka 650/2000 | Strata MSE: 0.008524
Epoka 660/2000 | Strata MSE: 0.008530
Epoka 670/2000 | Strata MSE: 0.008611
Epoka 680/2000 | Strata MSE: 0.008513
Epoka 690/2000 | Strata MSE: 0.008645
Epoka 700/2000 | Strata MSE: 0.008471
Epoka 710/2000 | Strata MSE: 0.008485
Epoka 720/2000 | Strata MSE: 0.008563
Epoka 730/2000 | Strata MSE: 0.008513
Epoka 740/2000 | Strata MSE: 0.008434
Epoka 750/2000 | Strata MSE: 0.008459
Epoka 760/2000 | Strata MSE: 0.008433
Epoka 770/2000 | Strata MSE: 0.008437
Epoka 780/2000 | Strata MSE: 0.008476
Epoka 790/2000 | Strata MSE: 0.008433
Epoka 800/2000 | Strata MSE: 0.008513
Epoka 810/2000 | Strata MSE: 0.008423
Epoka 820/2000 | Strata MSE: 0.008427
Epoka 830/2000 | Strata MSE: 0.008434
Epoka 840/2000 | Strata MSE: 0.008476
Epoka 850/2000 | Strata MSE: 0.008441
Epoka 860/2000 | Strata MSE: 0.008435
Epoka 870/2000 | Strata MSE: 0.008494
Epoka 880/2000 | Strata MSE: 0.008424
Epoka 890/2000 | Strata MSE: 0.008390

[!] EARLY STOPPING: Przerwano trening w epoce 899!
Brak poprawy o minimum 1e-06 od 80 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.008391

Komórka MSO 10 gotowa!

MSO 1:
Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 50)...
Epoka 10/2000 | Strata MSE: 0.016152
Epoka 20/2000 | Strata MSE: 0.012858
Epoka 30/2000 | Strata MSE: 0.011713
Epoka 40/2000 | Strata MSE: 0.011847
Epoka 50/2000 | Strata MSE: 0.009837
Epoka 60/2000 | Strata MSE: 0.010131
Epoka 70/2000 | Strata MSE: 0.009175
Epoka 80/2000 | Strata MSE: 0.008314
Epoka 90/2000 | Strata MSE: 0.008186
Epoka 100/2000 | Strata MSE: 0.007888
Epoka 110/2000 | Strata MSE: 0.007459
Epoka 120/2000 | Strata MSE: 0.007227
Epoka 130/2000 | Strata MSE: 0.007159
Epoka 140/2000 | Strata MSE: 0.007343
Epoka 150/2000 | Strata MSE: 0.006991
Epoka 160/2000 | Strata MSE: 0.006847
Epoka 170/2000 | Strata MSE: 0.006777
Epoka 180/2000 | Strata MSE: 0.006376
Epoka 190/2000 | Strata MSE: 0.006476
Epoka 200/2000 | Strata MSE: 0.006947
Epoka 210/2000 | Strata MSE: 0.006431
Epoka 220/2000 | Strata MSE: 0.006268
Epoka 230/2000 | Strata MSE: 0.006258
Epoka 240/2000 | Strata MSE: 0.006148
Epoka 250/2000 | Strata MSE: 0.006118
Epoka 260/2000 | Strata MSE: 0.006052
Epoka 270/2000 | Strata MSE: 0.005933
Epoka 280/2000 | Strata MSE: 0.006042
Epoka 290/2000 | Strata MSE: 0.006014
Epoka 300/2000 | Strata MSE: 0.005866
Epoka 310/2000 | Strata MSE: 0.006038
Epoka 320/2000 | Strata MSE: 0.005862
Epoka 330/2000 | Strata MSE: 0.005854
Epoka 340/2000 | Strata MSE: 0.005746
Epoka 350/2000 | Strata MSE: 0.005819
Epoka 360/2000 | Strata MSE: 0.005852
Epoka 370/2000 | Strata MSE: 0.005800
Epoka 380/2000 | Strata MSE: 0.005770
Epoka 390/2000 | Strata MSE: 0.005757
Epoka 400/2000 | Strata MSE: 0.005783
Epoka 410/2000 | Strata MSE: 0.005725
Epoka 420/2000 | Strata MSE: 0.005718
Epoka 430/2000 | Strata MSE: 0.005662
Epoka 440/2000 | Strata MSE: 0.005611
Epoka 450/2000 | Strata MSE: 0.005684
Epoka 460/2000 | Strata MSE: 0.005628
Epoka 470/2000 | Strata MSE: 0.005546
Epoka 480/2000 | Strata MSE: 0.005626
Epoka 490/2000 | Strata MSE: 0.005548
Epoka 500/2000 | Strata MSE: 0.005746
Epoka 510/2000 | Strata MSE: 0.005632
Epoka 520/2000 | Strata MSE: 0.005506
Epoka 530/2000 | Strata MSE: 0.005562
Epoka 540/2000 | Strata MSE: 0.005550
Epoka 550/2000 | Strata MSE: 0.005469
Epoka 560/2000 | Strata MSE: 0.005496
Epoka 570/2000 | Strata MSE: 0.005481
Epoka 580/2000 | Strata MSE: 0.005483
Epoka 590/2000 | Strata MSE: 0.005452
Epoka 600/2000 | Strata MSE: 0.005447
Epoka 610/2000 | Strata MSE: 0.005427
Epoka 620/2000 | Strata MSE: 0.005436
Epoka 630/2000 | Strata MSE: 0.005426
Epoka 640/2000 | Strata MSE: 0.005426
Epoka 650/2000 | Strata MSE: 0.005394
Epoka 660/2000 | Strata MSE: 0.005418
Epoka 670/2000 | Strata MSE: 0.005411
Epoka 680/2000 | Strata MSE: 0.005374
Epoka 690/2000 | Strata MSE: 0.005373
Epoka 700/2000 | Strata MSE: 0.005371
Epoka 710/2000 | Strata MSE: 0.005377
Epoka 720/2000 | Strata MSE: 0.005387
Epoka 730/2000 | Strata MSE: 0.005362
Epoka 740/2000 | Strata MSE: 0.005370
Epoka 750/2000 | Strata MSE: 0.005367
Epoka 760/2000 | Strata MSE: 0.005341
Epoka 770/2000 | Strata MSE: 0.005380
Epoka 780/2000 | Strata MSE: 0.005348
Epoka 790/2000 | Strata MSE: 0.005339
Epoka 800/2000 | Strata MSE: 0.005316
Epoka 810/2000 | Strata MSE: 0.005322
Epoka 820/2000 | Strata MSE: 0.005313
Epoka 830/2000 | Strata MSE: 0.005316
Epoka 840/2000 | Strata MSE: 0.005326
Epoka 850/2000 | Strata MSE: 0.005305
Epoka 860/2000 | Strata MSE: 0.005304
Epoka 870/2000 | Strata MSE: 0.005307
Epoka 880/2000 | Strata MSE: 0.005299
Epoka 890/2000 | Strata MSE: 0.005303
Epoka 900/2000 | Strata MSE: 0.005301
Epoka 910/2000 | Strata MSE: 0.005307
Epoka 920/2000 | Strata MSE: 0.005290
Epoka 930/2000 | Strata MSE: 0.005275
Epoka 940/2000 | Strata MSE: 0.005280
Epoka 950/2000 | Strata MSE: 0.005271
Epoka 960/2000 | Strata MSE: 0.005275
Epoka 970/2000 | Strata MSE: 0.005280
Epoka 980/2000 | Strata MSE: 0.005267
Epoka 990/2000 | Strata MSE: 0.005267
Epoka 1000/2000 | Strata MSE: 0.005277
Epoka 1010/2000 | Strata MSE: 0.005269
Epoka 1020/2000 | Strata MSE: 0.005261
Epoka 1030/2000 | Strata MSE: 0.005268
Epoka 1040/2000 | Strata MSE: 0.005251
Epoka 1050/2000 | Strata MSE: 0.005248
Epoka 1060/2000 | Strata MSE: 0.005252
Epoka 1070/2000 | Strata MSE: 0.005248
Epoka 1080/2000 | Strata MSE: 0.005255
Epoka 1090/2000 | Strata MSE: 0.005247
Epoka 1100/2000 | Strata MSE: 0.005246
Epoka 1110/2000 | Strata MSE: 0.005242
Epoka 1120/2000 | Strata MSE: 0.005254
Epoka 1130/2000 | Strata MSE: 0.005250
Epoka 1140/2000 | Strata MSE: 0.005238
Epoka 1150/2000 | Strata MSE: 0.005241
Epoka 1160/2000 | Strata MSE: 0.005234
Epoka 1170/2000 | Strata MSE: 0.005232
Epoka 1180/2000 | Strata MSE: 0.005235
Epoka 1190/2000 | Strata MSE: 0.005229
Epoka 1200/2000 | Strata MSE: 0.005233
Epoka 1210/2000 | Strata MSE: 0.005231
Epoka 1220/2000 | Strata MSE: 0.005229
Epoka 1230/2000 | Strata MSE: 0.005229
Epoka 1240/2000 | Strata MSE: 0.005224
Epoka 1250/2000 | Strata MSE: 0.005222
Epoka 1260/2000 | Strata MSE: 0.005222
Epoka 1270/2000 | Strata MSE: 0.005228
Epoka 1280/2000 | Strata MSE: 0.005222
Epoka 1290/2000 | Strata MSE: 0.005220
Epoka 1300/2000 | Strata MSE: 0.005223
Epoka 1310/2000 | Strata MSE: 0.005220
Epoka 1320/2000 | Strata MSE: 0.005220
Epoka 1330/2000 | Strata MSE: 0.005217
Epoka 1340/2000 | Strata MSE: 0.005220
Epoka 1350/2000 | Strata MSE: 0.005216
Epoka 1360/2000 | Strata MSE: 0.005216
Epoka 1370/2000 | Strata MSE: 0.005213
Epoka 1380/2000 | Strata MSE: 0.005216
Epoka 1390/2000 | Strata MSE: 0.005210
Epoka 1400/2000 | Strata MSE: 0.005209
Epoka 1410/2000 | Strata MSE: 0.005209
Epoka 1420/2000 | Strata MSE: 0.005210
Epoka 1430/2000 | Strata MSE: 0.005213
Epoka 1440/2000 | Strata MSE: 0.005208
Epoka 1450/2000 | Strata MSE: 0.005207
Epoka 1460/2000 | Strata MSE: 0.005209
Epoka 1470/2000 | Strata MSE: 0.005208
Epoka 1480/2000 | Strata MSE: 0.005206
Epoka 1490/2000 | Strata MSE: 0.005206
Epoka 1500/2000 | Strata MSE: 0.005206
Epoka 1510/2000 | Strata MSE: 0.005206
Epoka 1520/2000 | Strata MSE: 0.005204
Epoka 1530/2000 | Strata MSE: 0.005203
Epoka 1540/2000 | Strata MSE: 0.005204
Epoka 1550/2000 | Strata MSE: 0.005201
Epoka 1560/2000 | Strata MSE: 0.005201

[!] EARLY STOPPING: Przerwano trening w epoce 1563!
Brak poprawy o minimum 1e-06 od 50 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.005201

MSO 1 (3-stanowe) gotowe i zapisane!


MSO 10 2 stany
Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.014585
Epoka 20/2000 | Strata MSE: 0.012139
Epoka 30/2000 | Strata MSE: 0.012165
Epoka 40/2000 | Strata MSE: 0.013446
Epoka 50/2000 | Strata MSE: 0.012744
Epoka 60/2000 | Strata MSE: 0.010525
Epoka 70/2000 | Strata MSE: 0.011299
Epoka 80/2000 | Strata MSE: 0.010812
Epoka 90/2000 | Strata MSE: 0.011049
Epoka 100/2000 | Strata MSE: 0.010095
Epoka 110/2000 | Strata MSE: 0.010395
Epoka 120/2000 | Strata MSE: 0.010960
Epoka 130/2000 | Strata MSE: 0.009533
Epoka 140/2000 | Strata MSE: 0.009987
Epoka 150/2000 | Strata MSE: 0.009815
Epoka 160/2000 | Strata MSE: 0.009608
Epoka 170/2000 | Strata MSE: 0.009876
Epoka 180/2000 | Strata MSE: 0.009402
Epoka 190/2000 | Strata MSE: 0.009896
Epoka 200/2000 | Strata MSE: 0.009337
Epoka 210/2000 | Strata MSE: 0.010029
Epoka 220/2000 | Strata MSE: 0.009532
Epoka 230/2000 | Strata MSE: 0.009344
Epoka 240/2000 | Strata MSE: 0.009453
Epoka 250/2000 | Strata MSE: 0.008979
Epoka 260/2000 | Strata MSE: 0.009113
Epoka 270/2000 | Strata MSE: 0.009109
Epoka 280/2000 | Strata MSE: 0.009120
Epoka 290/2000 | Strata MSE: 0.009310
Epoka 300/2000 | Strata MSE: 0.009158
Epoka 310/2000 | Strata MSE: 0.009100
Epoka 320/2000 | Strata MSE: 0.008937
Epoka 330/2000 | Strata MSE: 0.008968
Epoka 340/2000 | Strata MSE: 0.008833
Epoka 350/2000 | Strata MSE: 0.008812
Epoka 360/2000 | Strata MSE: 0.008934
Epoka 370/2000 | Strata MSE: 0.008655
Epoka 380/2000 | Strata MSE: 0.009228
Epoka 390/2000 | Strata MSE: 0.008819
Epoka 400/2000 | Strata MSE: 0.008608
Epoka 410/2000 | Strata MSE: 0.008709
Epoka 420/2000 | Strata MSE: 0.008672
Epoka 430/2000 | Strata MSE: 0.008769
Epoka 440/2000 | Strata MSE: 0.008634
Epoka 450/2000 | Strata MSE: 0.008848
Epoka 460/2000 | Strata MSE: 0.008558
Epoka 470/2000 | Strata MSE: 0.008555
Epoka 480/2000 | Strata MSE: 0.008842
Epoka 490/2000 | Strata MSE: 0.008688
Epoka 500/2000 | Strata MSE: 0.008544
Epoka 510/2000 | Strata MSE: 0.008556
Epoka 520/2000 | Strata MSE: 0.008485
Epoka 530/2000 | Strata MSE: 0.008696
Epoka 540/2000 | Strata MSE: 0.008467
Epoka 550/2000 | Strata MSE: 0.008496
Epoka 560/2000 | Strata MSE: 0.008527
Epoka 570/2000 | Strata MSE: 0.008454
Epoka 580/2000 | Strata MSE: 0.008496
Epoka 590/2000 | Strata MSE: 0.008428
Epoka 600/2000 | Strata MSE: 0.008434
Epoka 610/2000 | Strata MSE: 0.008624
Epoka 620/2000 | Strata MSE: 0.008504
Epoka 630/2000 | Strata MSE: 0.008414
Epoka 640/2000 | Strata MSE: 0.008415
